id;uuid;name;mcc;parent_category_id;enabled;icon_url;default_order_id;added_date;updated_date;regions;tags
1;32775c3f-2f3c-4d1d-a6d0-6902eedde862;Nevada enterprise Belarussian Ruble;fuch;d2982e55-6830-4283-9e0f-6846f83b592b;false;New Mexico North Carolina;3597;2021-03-23T19:06:46;2021-03-23T01:35:46;Bedfordshire visionary;Cheese Front-line
2;15ee3f4c-1191-4a8e-a4f9-85d8e6a746c3;Avon invoice;Unit;4080f13e-75ba-4b09-911d-04e5b9388eeb;false;Pitcairn Islands Direct;95453;2021-03-23T10:00:15;2021-03-23T18:10:24;uniform Corners;Egypt CFA Franc BEAC
3;7e4a0548-fe3b-4e90-8042-ae699bc0e7c3;e-tailers;Liai;278d1d2b-f7fc-4ed8-b1a1-1f5be9c323f0;false;Personal Loan Account input Personal Loan Account;12702;2021-03-23T05:30:55;2021-03-23T04:30:07;Electronics asymmetric interface;Incredible Metal Cheese
4;22e71e27-b779-4c26-b600-166f63fbea1c;quantifying;New ;98e1e113-40b8-4cc3-9c2b-19ee33bc9f84;false;Texas green;30970;2021-03-22T22:10:52;2021-03-23T10:53:03;Web synergistic;Profound Fresh
5;41f7dd00-5f83-4a15-853b-093c0ab1a606;quantify Lane SMS;Pers;c83224af-e295-4e97-a722-a2fa07050b53;false;quantify;81204;2021-03-23T10:38:07;2021-03-23T00:02:31;Bike;Bacon Shirt Handcrafted Fresh Pants
6;cb223810-30a2-4011-ac82-0c62a6ddb610;Checking Account deposit;Guya;9032cdc7-6f2a-4a3d-a38b-67b113cf0a3a;false;Toys;17364;2021-03-23T15:42:18;2021-03-23T10:18:30;Movies;value-added program
7;0230245b-e98a-4a23-8f53-722d818820fa;Electronics;over;f104381c-16e2-489d-8fb7-defe8dae1c64;true;compress;54540;2021-03-23T05:59:07;2021-03-23T10:23:02;cyan Gorgeous Frozen Pizza interface;Fantastic Japan
8;f52d82e7-5fdd-48d1-934e-12ad4910870d;seamless Tennessee Open-architected;back;bccbc163-4ad4-49ce-875b-abd05c272148;false;teal Unbranded calculating;23526;2021-03-23T07:49:00;2021-03-23T09:30:07;Legacy;Central Intuitive neural
9;b4e1c1f4-457e-4d94-811b-bef3d888159c;Nebraska Mall reintermediate;Chai;1c8d7b2e-d859-4cd6-95e2-e1fef042541e;false;Markets Keyboard Utah;15481;2021-03-23T19:37:22;2021-03-23T19:51:14;Louisiana Sleek mint green;port capability virtual
10;913ab286-25dd-4dc6-a0da-2b91a622e30e;Producer Coordinator;Sala;e7b1612a-fc4a-4820-a604-b57d855f595e;true;transition;79105;2021-03-23T15:32:15;2021-03-23T09:05:58;Crescent hard drive;deposit Kenyan Shilling Facilitator
